annee,bill_plus_stocks,taxes_net_subsidy,bill_constant,energy_bill,taxes_gross,volume_twh,bill_Coal,bill_Oil,bill_Biofuels,bill_Natural gas,bill_Electricity,"bill_Biomass, heat & other",tax_Coal,tax_Oil,tax_Biofuels,tax_Natural gas,tax_Electricity,"tax_Biomass, heat & other",vol_Coal,vol_Oil,vol_Biofuels,vol_Natural gas,vol_Electricity,"vol_Biomass, heat & other"
2011,57.895,40.809,79.23,63.688,44.41,1744.083,2.388,50.303,0.172,13.434,-2.578,-0.031,0.016,33.857,0.0,1.845,8.586,0.106,14.16,785.91,28.268,349.975,424.492,141.278
2012,64.744,41.12,86.183,69.813,46.0,1799.454,2.435,54.317,0.033,14.74,-1.686,-0.025,0.015,33.851,0.0,2.135,9.854,0.145,15.46,775.364,31.146,372.29,443.797,161.398
2013,60.777,43.294,80.928,66.029,48.532,1830.84,1.91,50.689,0.212,14.945,-1.706,-0.022,0.015,33.674,0.0,2.372,12.295,0.175,13.296,773.147,31.253,386.791,450.918,175.435
2014,51.117,42.041,68.408,56.118,47.848,1692.65,1.418,44.901,0.377,11.558,-2.152,0.016,0.013,32.896,0.0,2.111,12.618,0.208,12.201,745.66,34.371,324.818,425.402,150.197
2015,36.209,44.882,47.358,39.329,51.171,1731.154,1.296,30.031,0.2,10.141,-2.337,-0.001,0.018,31.688,2.723,2.658,13.86,0.224,12.896,752.104,34.847,333.28,435.032,162.995
2016,29.221,47.602,37.678,31.448,54.068,1763.828,1.14,23.12,0.514,7.734,-1.073,0.012,0.016,32.517,2.862,3.088,15.38,0.204,12.503,742.925,34.778,349.625,442.743,181.254
2017,35.637,50.15,46.379,38.923,56.801,1755.239,2.061,28.891,0.75,8.517,-1.307,0.011,0.019,34.614,3.169,3.515,15.277,0.207,13.041,743.964,36.484,340.324,439.365,182.06
2018,41.19,53.321,53.791,45.624,60.351,1736.721,1.9,35.236,0.645,10.658,-2.844,0.029,0.019,37.33,3.43,4.084,15.286,0.201,13.45,730.814,36.499,335.951,437.102,182.905
2019,39.699,52.611,51.371,44.131,60.605,1718.419,1.637,34.692,1.148,8.602,-2.017,0.07,0.02,36.895,3.519,4.4,15.56,0.211,11.023,724.092,37.181,325.919,431.705,188.499
2020,23.996,44.758,28.036,24.811,53.357,1535.606,0.868,19.387,0.541,5.112,-1.169,0.072,0.015,30.831,2.908,4.003,15.397,0.202,9.715,595.766,30.878,306.44,411.359,181.449
2021,44.715,53.28,50.772,45.487,59.286,1683.71,1.377,30.475,1.576,14.63,-2.674,0.103,0.016,35.454,3.514,4.216,15.838,0.248,11.242,656.337,33.994,336.235,432.837,213.065
2022,108.014,46.673,127.585,117.684,55.697,1628.919,3.267,56.168,3.15,47.465,7.42,0.213,0.018,38.211,4.109,4.173,8.949,0.236,8.083,683.049,35.688,284.355,414.276,203.468
2023,66.746,53.14,73.679,71.421,51.877,1574.155,1.975,43.617,3.28,26.261,-3.961,0.25,0.01,36.598,4.035,4.096,6.845,0.293,6.725,663.273,37.216,261.975,397.5,207.466
2024,54.682,52.512,58.331,57.752,59.664,1579.713,1.417,40.984,2.845,17.366,-5.175,0.315,0.007,36.42,3.979,5.611,13.399,0.247,5.481,666.414,37.746,263.33,398.264,208.478
