annee,barre,energie_et_fourniture_eur_par_mwh,reseau_eur_par_mwh,accises_et_taxes_eur_par_mwh,tva_eur_par_mwh,prix_ttc_eur_par_mwh,prelevements_eur_par_mwh,part_prelevements_pct
2024,Essence (Euro-95),95.2,,79.6,35.0,209.8,114.6,54.6
2024,Gazole (routier),81.5,,61.8,28.7,172.0,90.5,52.6
2024,E85 (superethanol),87.8,,17.9,21.1,126.8,39.0,30.8
2024,Biocarburants (incorpores),128.8,,66.8,39.1,234.7,105.9,45.1
2024,Fioul domestique,85.7,,15.8,20.3,121.8,36.1,29.6
2024,Kerosene soutes internationales,70.6,,0.0,0.0,70.6,0.0,0.0
2024,Electricite menages,152.3,69.8,25.0,41.5,288.6,66.5,23.0
2024,Electricite industrie,131.7,29.9,17.8,33.6,213.0,51.4,24.1
2024,Gaz naturel menages,61.9,26.3,19.3,17.8,125.3,37.1,29.6
2024,Gaz naturel industrie,50.2,7.5,11.6,12.8,82.1,24.4,29.7
2024,Biomethane injecte,127.2,26.3,19.3,28.6,201.4,47.9,23.8
2024,Bois de chauffage menages,47.3,,0.0,3.9,51.2,3.9,7.6
2025,Essence (Euro-95),86.0,,79.7,33.1,198.8,112.8,56.7
2025,Gazole (routier),75.0,,61.8,27.4,164.2,89.2,54.3
2025,E85 (superethanol),74.4,,17.9,18.5,110.8,36.4,32.9
2025,Biocarburants (incorpores),114.2,,67.6,36.4,218.2,104.0,47.7
2025,Fioul domestique,80.0,,15.8,19.1,114.9,34.9,30.4
2025,Electricite menages,108.8,75.9,37.1,40.1,261.9,77.2,29.5
2025,Electricite industrie,105.0,32.3,22.5,28.8,188.6,51.3,27.2
2025,Gaz naturel menages,64.5,30.8,19.9,20.6,135.8,40.5,29.8
2025,Gaz naturel industrie,45.3,9.7,11.5,11.9,78.4,23.4,29.8
2025,Bois de chauffage menages,48.2,,0.0,3.9,52.1,3.9,7.5
