usage,poste,ordre,barre_livree,libelle_fr,libelle_en,parametre,valeur,unite,source,fiabilite
transport,ve_domicile,1,Electricite menages,"Voiture électrique, à domicile","Electric car, home charging",consommation,17,kWh/100 km,"ADEME + carlabelling : 15-16 kWh/100 km WLTP au niveau batterie pour une compacte, plus 8-12 % de pertes de recharge AC ; mesuré au compteur du logement",ordre de grandeur
transport,ve_borne,2,,"Voiture électrique, borne rapide","Electric car, public fast charger",consommation,17,kWh/100 km,"même véhicule que la barre précédente, mesuré en sortie de borne",ordre de grandeur
transport,ve_borne,2,,"Voiture électrique, borne rapide","Electric car, public fast charger",prix_ttc,0.50,€/kWh,"tarifs publics 2024 des réseaux de recharge rapide (0,40 à 0,69 €/kWh selon l'opérateur et l'abonnement)",hypothèse
transport,ve_borne,2,,"Voiture électrique, borne rapide","Electric car, public fast charger",taux_tva,0.20,-,"TVA 20 % sur la fourniture d'électricité de recharge (taux normal)",barème
transport,ve_borne,2,,"Voiture électrique, borne rapide","Electric car, public fast charger",accise,17.8,€/MWh,"accise sur l'électricité supportée par l'opérateur de recharge, consommateur non-ménage : moyenne France 2024 d'Eurostat nrg_pc_205_c (barre Electricite industrie du post 1)",ordre de grandeur
transport,essence,3,Essence (Euro-95),"Voiture essence","Petrol car",consommation,6.5,L/100 km,"consommation réelle moyenne d'une voiture essence du parc français (SDES/ADEME : 6,5 à 7 l/100 km ; JEC WTW v5, véhicule de référence essence 6,0 à 6,5)",ordre de grandeur
transport,essence,3,Essence (Euro-95),"Voiture essence","Petrol car",pci,8.68,kWh/L,"PCI base carbone ADEME, valeur utilisée par plot_facture.py (PCI_KWH_PAR_LITRE)",convention
transport,gazole,4,Gazole (routier),"Voiture diesel","Diesel car",consommation,5.5,L/100 km,"consommation réelle moyenne d'une voiture diesel du parc français (SDES/ADEME : 5,5 à 6 l/100 km ; JEC WTW v5, véhicule de référence diesel 5,2 à 5,5)",ordre de grandeur
transport,gazole,4,Gazole (routier),"Voiture diesel","Diesel car",pci,9.86,kWh/L,"PCI base carbone ADEME, valeur utilisée par plot_facture.py (PCI_KWH_PAR_LITRE)",convention
chauffage,pac,1,Electricite menages,"Pompe à chaleur","Heat pump",rendement,3.0,COP (MWh utile / MWh livré),"SCOP déclaré EN 14825 d'une PAC air/eau : 3,5 à 4,5 ; performance saisonnière observée en France, auxiliaires et distribution compris : 2,5 à 3,5",ordre de grandeur
chauffage,radiateur,2,Electricite menages,"Radiateur électrique","Electric radiator",rendement,1.0,MWh utile / MWh livré,"effet Joule : toute l'électricité livrée devient de la chaleur dans le logement (convention, exact par construction)",convention
chauffage,chaudiere_gaz,3,Gaz naturel menages,"Chaudière gaz à condensation","Gas condensing boiler",rendement,0.90,MWh utile / MWh livré PCS,"rendement saisonnier sur PCS, émission et distribution comprises ; une chaudière à condensation neuve est à ~0,95 PCS (≈1,05 PCI), une chaudière standard à ~0,80 PCS. Base PCS parce qu'Eurostat tarife le gaz en PCS",ordre de grandeur
chauffage,chaudiere_fioul,4,Fioul domestique,"Chaudière fioul","Oil boiler",rendement,0.85,MWh utile / MWh livré PCI,"rendement saisonnier d'une chaudière fioul récente, ADEME ; 0,75 à 0,90 selon l'âge",ordre de grandeur
chauffage,poele_bois,5,Bois de chauffage menages,"Poêle à bûches","Wood stove",rendement,0.75,MWh utile / MWh livré PCI,"label Flamme Verte : rendement >= 75 % pour un appareil 7 étoiles ; un foyer ouvert est à 0,10-0,15",ordre de grandeur
cuisson,induction,1,Electricite menages,"Plaque à induction","Induction hob",rendement,0.85,MWh utile / MWh livré,"rendement mesuré selon EN 60350-2 (règlement UE 66/2014, écoconception des appareils de cuisson) : induction ~0,84, vitrocéramique ~0,70",mesure normalisée
cuisson,plaque_gaz,2,Gaz naturel menages,"Plaque gaz","Gas hob",rendement,0.45,MWh utile / MWh livré PCS,"rendement de brûleur EN 30-2-1 ~0,55-0,60, rendement au niveau de la casserole mesuré 0,40 à 0,50 selon les campagnes ; 0,45 retenu. Base PCS comme le prix Eurostat",ordre de grandeur
avion_train,avion,1,Kerosene soutes internationales,"Avion, moyen-courrier","Plane, medium-haul",consommation,3.5,L/100 passagers-km,"DGAC/IATA : 3 à 4 l aux 100 passagers-km sur moyen-courrier, taux de remplissage moyen (~85 %) inclus ; recoupe l'ordre de grandeur ADEME de ~100 gCO2e/pass.-km",ordre de grandeur
avion_train,avion,1,Kerosene soutes internationales,"Avion, moyen-courrier","Plane, medium-haul",pci,9.6,kWh/L,"PCI kérosène, base carbone ADEME (densité ~0,80 kg/l, PCI ~43 MJ/kg) ; même valeur que facteurs_co2.csv du post 1",convention
avion_train,voiture_essence,2,Essence (Euro-95),"Voiture essence","Petrol car",consommation,6.5,L/100 km,"même hypothèse que le panneau transport",ordre de grandeur
avion_train,voiture_essence,2,Essence (Euro-95),"Voiture essence","Petrol car",pci,8.68,kWh/L,"PCI base carbone ADEME, valeur utilisée par plot_facture.py (PCI_KWH_PAR_LITRE)",convention
avion_train,voiture_essence,2,Essence (Euro-95),"Voiture essence","Petrol car",occupation,1.5,personnes par voiture,"taux d'occupation moyen des voitures en France, tous motifs : 1,4 à 1,6 (SDES, enquête mobilité des personnes 2019) ; 1,5 retenu",ordre de grandeur
avion_train,tgv,3,Electricite industrie,"Train à grande vitesse","High-speed train",consommation,0.04,kWh/passagers-km,"ordre de grandeur : ~20 kWh/km au pantographe pour une rame de 400 à 500 places occupée aux trois quarts ; recoupe l'empreinte SNCF/ADEME du TGV (~2,4 gCO2e/pass.-km avec un mix électrique à ~52 g/kWh). PRIX : barre « Electricite industrie » d'Eurostat 2024 (213 €/MWh TTC), faute de prix d'électricité ferroviaire publié — un opérateur de cette taille achète moins cher et déduit la TVA, la barre est un majorant",ordre de grandeur (consommation) et hypothèse (prix)
