Annee,RDB_MEUR,Depense_Logement_MEUR,Part_Logement_pct,Depense_Carburants_MEUR,Part_Carburants_pct,Depense_Total_MEUR,Part_Total_pct
1960,30323.6543,777.3,2.5633,818.5,2.6992,1595.8,5.2626
1961,32727.1223,815.6,2.4921,905.0,2.7653,1720.6,5.2574
1962,37576.2438,917.8,2.4425,978.8,2.6048,1896.6,5.0473
1963,41963.0278,1051.0,2.5046,1070.7,2.5515,2121.7,5.0561
1964,45614.7719,1076.3,2.3595,1188.6,2.6057,2264.9,4.9653
1965,49026.0183,1143.4,2.3322,1307.0,2.6659,2450.4,4.9982
1966,52978.9313,1197.1,2.2596,1449.8,2.7366,2646.9,4.9961
1967,57661.5509,1348.4,2.3385,1632.3,2.8308,2980.7,5.1693
1968,63265.3162,1527.2,2.414,1810.1,2.8611,3337.3,5.2751
1969,70967.4525,1714.2,2.4155,2087.8,2.9419,3802.0,5.3574
1970,79982.5704,1951.4,2.4398,2318.8,2.8991,4270.2,5.3389
1971,89070.0911,2218.5,2.4907,2641.6,2.9658,4860.1,5.4565
1972,99515.1266,2462.5,2.4745,2931.4,2.9457,5393.9,5.4202
1973,113129.4044,2792.5,2.4684,3322.3,2.9367,6114.8,5.4051
1974,133558.0251,3604.2,2.6986,4441.5,3.3255,8045.7,6.0241
1975,154022.5918,4292.0,2.7866,4902.4,3.1829,9194.4,5.9695
1976,172980.0307,4999.1,2.89,5636.0,3.2582,10635.1,6.1482
1977,194420.1956,5765.2,2.9653,6510.1,3.3485,12275.3,6.3138
1978,223714.1919,6891.2,3.0804,7533.6,3.3675,14424.8,6.4479
1979,249880.6601,8085.1,3.2356,8736.1,3.4961,16821.2,6.7317
1980,283822.8597,10683.5,3.7641,10378.1,3.6565,21061.6,7.4207
1981,327379.1035,12424.0,3.795,12313.8,3.7613,24737.8,7.5563
1982,373223.3881,14399.5,3.8581,14347.0,3.8441,28746.5,7.7022
1983,409059.9829,16741.4,4.0927,15571.3,3.8066,32312.7,7.8993
1984,437297.4642,19110.0,4.37,17087.7,3.9076,36197.7,8.2776
1985,468955.1172,21454.4,4.5749,18962.0,4.0435,40416.4,8.6184
1986,496701.0781,20286.1,4.0842,17116.8,3.4461,37402.9,7.5303
1987,520753.9857,19253.8,3.6973,17335.7,3.329,36589.5,7.0263
1988,553206.9222,18061.0,3.2648,18040.7,3.2611,36101.7,6.5259
1989,593480.9248,18269.3,3.0783,19669.2,3.3142,37938.5,6.3925
1990,634640.1327,19501.6,3.0729,20420.0,3.2176,39921.6,6.2904
1991,660417.0167,22162.2,3.3558,20726.7,3.1384,42888.9,6.4942
1992,693260.348,22495.1,3.2448,20454.7,2.9505,42949.8,6.1953
1993,708131.9993,22819.8,3.2225,21127.3,2.9835,43947.1,6.2061
1994,718736.752,22014.7,3.063,21918.5,3.0496,43933.2,6.1126
1995,743279.1221,22880.1,3.0783,22530.6,3.0312,45410.7,6.1095
1996,762688.1509,24768.3,3.2475,24024.9,3.15,48793.2,6.3975
1997,783877.377,23817.2,3.0384,25085.6,3.2002,48902.8,6.2386
1998,809728.3162,24695.7,3.0499,24701.8,3.0506,49397.5,6.1005
1999,831680.8913,24000.9,2.8858,26190.2,3.1491,50191.1,6.0349
2000,881989.9849,24712.4,2.8019,30506.5,3.4588,55218.9,6.2607
2001,927318.758,27006.8,2.9124,29505.9,3.1819,56512.7,6.0942
2002,966475.3896,26189.2,2.7098,28721.6,2.9718,54910.8,5.6816
2003,993194.8429,28513.9,2.8709,29581.7,2.9784,58095.6,5.8494
2004,1036009.7298,29920.6,2.8881,31606.8,3.0508,61527.4,5.9389
2005,1073045.1613,31361.4,2.9227,34990.2,3.2608,66351.6,6.1835
2006,1130421.8956,33282.6,2.9443,36613.2,3.2389,69895.8,6.1832
2007,1188862.3858,32870.2,2.7648,37833.6,3.1823,70703.8,5.9472
2008,1227710.0954,36741.3,2.9927,42078.9,3.4274,78820.2,6.4201
2009,1230176.4236,36056.6,2.931,34105.0,2.7724,70161.6,5.7034
2010,1263295.7352,38769.7,3.0689,38268.7,3.0293,77038.4,6.0982
2011,1290685.3413,38915.9,3.0151,43401.0,3.3626,82316.9,6.3778
2012,1304347.9033,42976.8,3.2949,45191.3,3.4647,88168.1,6.7596
2013,1298947.1046,45657.1,3.5149,43494.2,3.3484,89151.3,6.8634
2014,1317821.1683,41257.1,3.1307,41831.2,3.1743,83088.3,6.305
2015,1333512.6777,42523.9,3.1889,38419.8,2.8811,80943.7,6.07
2016,1356132.5198,43704.6,3.2227,37323.5,2.7522,81028.1,5.9749
2017,1390105.1322,43861.2,3.1552,40621.2,2.9222,84482.4,6.0774
2018,1430036.8027,45978.1,3.2152,45769.6,3.2006,91747.7,6.4158
2019,1478668.0018,47362.4,3.203,45499.4,3.0771,92861.8,6.2801
2020,1495575.8596,47256.5,3.1598,33292.2,2.226,80548.7,5.3858
2021,1568269.4494,51898.9,3.3093,42367.5,2.7015,94266.4,6.0109
2022,1652778.2389,53953.7,3.2644,54164.3,3.2772,108118.0,6.5416
2023,1786231.5802,58544.1,3.2775,52481.0,2.9381,111025.1,6.2156
2024,1874092.3594,65778.6,3.5099,50051.9,2.6707,115830.5,6.1806
2025,1883178.0198,63603.7,3.3775,47610.4,2.5282,111214.1,5.9057
