Dixieme,Observations,Menages_M,Ratio_agregats,Moyenne_ratios,P10,P25,Mediane,P75,P90,P95,Facture_EUR,Revenu_EUR,Part_sup_8pct
1,2009,1.4333564793845113,9.60659017920213,247.24222283664534,3.4814173980071588,5.483098945626284,8.759856568916126,14.199324474474034,27.227784065170237,50.437746740018575,1113.0860912165667,11586.692785400091,55.67058822288803
2,2163,1.4332496115569493,6.724497442463645,7.282382998137065,2.5965400743231766,4.0817279198317244,6.309106598476285,9.261470287610734,13.154313095837914,16.331792780845216,1150.7329572275437,17112.549555910773,33.138661614911626
3,2173,1.4331726937278735,5.856765285442237,6.247540143161914,2.434936466278601,3.5908344303718915,5.302791447126459,7.876587659824598,11.337612550152627,13.920733692023747,1148.1755988025695,19604.261786903284,24.125882578330334
4,2133,1.432736667831544,5.70612911015012,6.111028569315771,2.3668119751273524,3.604506011967638,5.388138842800086,7.600246619231222,10.769500554333503,13.595367059021592,1244.7247899424374,21813.82099694009,22.21336890632525
5,1982,1.4340200580032776,5.340103928884799,5.718700717665883,2.0261575204732045,3.2053124473269925,4.970393422882284,7.281329155646985,10.005830759303805,12.8457016201702,1276.8770771801649,23911.09038671503,19.83115728298126
6,1882,1.4329985466402806,4.932782521186963,5.150910567568924,1.9076253135290333,3.049379065280997,4.496715202522284,6.38155576699698,8.984014505753795,11.13960154165407,1270.3080110408687,25752.36199010853,13.659030280177234
7,1763,1.43324178159203,4.807604132555663,5.052991548250577,2.0363721410299322,3.1968783984083946,4.4238282249113805,6.164925397189916,8.743267995800085,10.651983670647688,1302.4968073536543,27092.430479738003,12.623919402269102
8,1731,1.43335542475945,4.461876461911301,4.649380709426156,1.8691243827754507,2.879239585451501,4.12041816046801,5.6561144044514835,7.966539846593434,9.789117909272965,1310.816324569419,29378.14024568296,9.837645871670935
9,1728,1.4333695117340308,4.344057790675268,4.525193633771562,1.855903769875477,2.7724245901805173,3.983899224547325,5.66811155727613,7.748696138555631,9.49198639651552,1338.4911331689557,30812.00107517198,9.118062276577382
10,1720,1.4333515342600658,4.213111800383647,4.397952323480429,1.8005663915929901,2.7265255812994393,3.8946735268359256,5.441451455812656,7.672873597498592,9.219415938302086,1374.4240198098987,32622.538516180448,8.117531069269772
11,1739,1.4336684162931144,4.0073825880206355,4.174517678085821,1.7567938139088304,2.5906301024112337,3.8486052147077467,5.289721021655325,7.029458689546655,8.14850351092292,1428.7849885357905,35653.820346649496,5.502276421121453
12,1688,1.4331926302638958,3.8562395333980923,4.027992819442042,1.6998914697436946,2.569915153652517,3.626023953178443,5.068045528681385,6.780463572837515,8.19471166861461,1433.976598543376,37185.87982214283,5.374477333067744
13,1688,1.4334356480609494,3.7442796993254257,3.9089034841231274,1.5438008167724844,2.4620386903608056,3.540273545131231,4.823813610820749,6.598638003476034,8.03401355387676,1476.7352335634316,39439.768183703854,5.096085136507825
14,1694,1.4334686056386465,3.4995065450616063,3.6189731788943114,1.4025812721142732,2.2445648607489312,3.289742373509833,4.482412021547492,6.152206068329902,7.392672662509457,1461.5117268042154,41763.36600560598,3.536931243200255
15,1697,1.4327389825352623,3.3495203599667622,3.4903321726019025,1.4758145905133129,2.184641874440697,3.105466019776446,4.312315832354215,5.833302746697007,7.219228501303313,1482.711612535609,44266.386025201595,3.465770400745661
16,1705,1.4330721957893204,3.1528505113428187,3.2713306062401095,1.2198145804314746,2.0335851211251774,3.0090732059121166,4.1312744377874315,5.602237554427141,6.779538315398845,1492.7247357763288,47345.24299220796,1.8320992022536584
17,1740,1.4336168550777224,3.0811036155057114,3.167618657731124,1.2047312608317868,1.9491499438337399,2.912835889184543,4.034380467683463,5.440983977074377,6.294992095675533,1570.6142807611398,50975.70470713786,1.7177236181239108
18,1788,1.4328528105449572,2.859075981685259,2.9602697980642683,1.114336781895236,1.84854442960441,2.7287473839213963,3.7924815333829462,5.084378398165956,5.911834486499665,1652.7622720257477,57807.567291427506,1.3126554076608894
19,1836,1.4340262245893842,2.469662723453735,2.5320236936345566,0.8461393791727315,1.5302713787658937,2.304182044052434,3.2207676614371756,4.3196238193107455,5.21457080141713,1694.3041853001816,68604.6790604167,0.5991110361127556
20,1902,1.4330831180572368,1.6498718343208614,1.8900289220617048,0.5666501567687698,1.0654923174792408,1.6647565893189844,2.4548771699555134,3.363516058986083,4.06275673953081,1927.4453085517605,116823.94162120823,0.22775621187233838
Ensemble,36761,28.666007796340498,3.6112754641716496,16.47146657363453,1.5104542832245296,2.407001232130676,3.7521140981432937,5.7013508185356665,8.56846858924974,11.134710879719359,1407.5873498896058,38977.56800483999,11.84995087973793
