Annee,Dixieme,Observations,Menages_M,Ratio_agregats,Ratio_harmonise,P10,P25,P50,P75,P90,Facture_EUR2020,Revenu_EUR2020,Part_sup_8pct,Part_sup_8pct_harmonise
1988,1,2289,2.07,11.3084,11.3512,2.8571,5.5052,9.9552,17.3199,27.8917,1200.4361,10615.4413,60.7466,61.1165
1988,2,2420,2.0694,7.939,7.9691,2.1981,4.1484,7.462,11.4172,15.7636,1262.8725,15907.2078,45.6008,45.8894
1988,3,2547,2.0506,6.6043,6.6293,2.0644,3.5372,6.0967,9.3585,12.9846,1310.4995,19843.2384,33.6059,33.8636
1988,4,2607,2.0812,5.9323,5.9547,1.8011,3.1399,5.3468,8.3333,11.8137,1345.7606,22685.4592,27.185,27.259
1988,5,2713,2.0786,5.3443,5.3646,1.5868,2.7044,4.8453,7.3785,10.42,1389.7749,26004.685,20.8798,21.2193
1988,6,2767,2.0671,4.5972,4.6146,1.4343,2.4036,4.213,6.374,8.8484,1375.8034,29927.0082,13.1493,13.3952
1988,7,2833,2.0725,4.2672,4.2834,1.2143,2.2116,3.9527,5.9219,7.9616,1457.8526,34163.7641,9.8609,9.9788
1988,8,2820,2.0232,3.7376,3.7518,1.0916,1.8466,3.4455,5.0924,6.9951,1488.3139,39819.6546,5.4601,5.5383
1988,9,2897,2.1137,3.3231,3.3357,0.8896,1.6535,3.0719,4.5975,6.0939,1570.1074,47248.1985,3.498,3.6014
1988,10,2793,2.0734,2.3074,2.3161,0.562,1.0234,2.0966,3.5187,4.9253,1711.5841,74179.1004,0.9572,1.0363
1988,Ensemble,26686,20.6997,4.4021,4.4188,1.1758,2.3977,4.4136,7.4667,11.7897,1411.5752,32065.6193,22.0799,22.2752
1992,1,3317,2.0812,11.0662,11.2934,2.9152,5.6844,10.1063,16.7078,25.7854,1139.6587,10298.5917,60.9724,61.8368
1992,2,3799,2.3359,7.9639,8.1275,2.4846,4.2351,7.3126,11.49,16.4659,1228.2346,15422.4326,45.4037,46.5696
1992,3,3647,2.221,6.8556,6.9963,2.2264,3.6508,6.282,9.6245,13.8889,1346.5646,19641.9371,35.2594,36.1578
1992,4,3581,2.1452,5.8192,5.9387,1.8733,3.2338,5.4181,8.0282,11.1372,1360.2038,23374.3369,25.2174,26.2503
1992,5,3665,2.2333,5.1534,5.2592,1.6084,2.8994,4.8015,7.0098,9.5574,1347.5465,26148.8201,18.0981,19.2234
1992,6,3772,2.2622,4.4796,4.5715,1.4286,2.4936,4.1711,6.0817,8.2829,1382.1923,30855.4532,11.2113,11.7421
1992,7,3664,2.2116,4.0805,4.1643,1.2843,2.228,3.8235,5.4349,7.3661,1433.6923,35135.3201,7.8355,8.3318
1992,8,3614,2.1735,3.597,3.6709,1.1139,1.9692,3.3565,4.8202,6.5429,1474.7775,40999.9969,4.5049,5.1707
1992,9,3650,2.2538,3.196,3.2616,0.9154,1.6091,2.9645,4.366,5.8946,1555.3071,48664.8185,2.6221,2.7905
1992,10,3513,2.2131,2.0386,2.0805,0.5441,0.9867,2.058,3.2965,4.5385,1763.8555,86522.7301,0.8423,0.986
1992,Ensemble,36222,22.1308,4.1572,4.2425,1.1743,2.4364,4.345,7.2104,11.6731,1403.967,33772.2827,21.0582,21.7672
1996,1,2695,2.2299,9.9278,9.7816,2.713,5.1327,8.8474,14.546,22.7981,989.5147,9967.1155,55.3885,54.5046
1996,2,2723,2.2457,7.2203,7.114,2.4655,4.0886,6.6861,10.2312,14.567,1136.1183,15734.9851,38.9121,38.3446
1996,3,2774,2.2474,6.0578,5.9685,2.1686,3.4414,5.611,8.3842,11.954,1234.1852,20373.6274,27.3487,26.515
1996,4,2579,2.0669,5.437,5.3569,1.9435,3.2054,5.0992,7.4329,10.405,1286.5066,23662.1256,20.7796,19.9841
